ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE,AGE_CAR_SEGMENT,GENDER_M,GENDER_F,SEGMENT_1,SEGMENT_2,SEGMENT_3,SEGMENT_4
00237O77NS,31,F,357850,480,1,3,0,1,False,False,True,False
00250P24JI,45,M,352042,94,1,1,1,0,True,False,False,False
00251B45QQ,62,F,407427,373,0,3,0,1,False,False,True,False
00251D05TO,30,M,298431,496,1,3,1,0,False,False,True,False
00255A68BB,29,M,159186,302,1,2,1,0,False,True,False,False
00257F20SW,34,F,448273,87,0,1,0,1,True,False,False,False
00260M66JI,25,F,344519,450,0,3,0,1,False,False,True,False
00261M80HZ,62,M,293809,269,0,2,1,0,False,True,False,False
00263W23XQ,58,M,521180,624,1,4,1,0,False,False,False,True
00264J96QC,29,F,193331,274,0,2,0,1,False,True,False,False
00273F04YP,63,M,491967,370,1,3,1,0,False,False,True,False
00277V91XO,63,M,364455,319,1,2,1,0,False,True,False,False
00279E12YC,33,F,329426,224,0,2,0,1,False,True,False,False
00281H13IL,32,M,137376,262,0,2,1,0,False,True,False,False
00282H90KM,46,M,623584,348,1,2,1,0,False,True,False,False
00283Q67LW,33,F,440311,286,0,2,0,1,False,True,False,False
00283R71ZE,44,F,327656,271,0,2,0,1,False,True,False,False
00284C65GH,30,F,286077,358,1,2,0,1,False,True,False,False
00289N46JG,40,M,156705,145,0,1,1,0,True,False,False,False
00299I24KW,42,M,547376,722,1,4,1,0,False,False,False,True
00302F94QD,50,F,418992,37,0,1,0,1,True,False,False,False
00302J37VM,40,F,410179,33,0,1,0,1,True,False,False,False
00309P39HF,60,M,245295,269,0,2,1,0,False,True,False,False
00310Q42MZ,33,M,130517,322,0,2,1,0,False,True,False,False
00315I46PY,62,F,502571,253,1,2,0,1,False,True,False,False
00318K61KI,61,F,231939,505,1,4,0,1,False,False,False,True
00319G52KN,39,F,402819,293,0,2,0,1,False,True,False,False
00319W54HL,33,M,126085,65,1,1,1,0,True,False,False,False
00327I16CN,34,F,300107,280,0,2,0,1,False,True,False,False
00332G98OD,52,M,548641,263,0,2,1,0,False,True,False,False
00333G45BT,55,F,452491,414,1,3,0,1,False,False,True,False
00335D45ZO,38,M,250767,81,0,1,1,0,True,False,False,False
00336T66SQ,61,M,739615,490,1,3,1,0,False,False,True,False
00342X44FK,50,M,410704,312,0,2,1,0,False,True,False,False
00345D80KY,56,F,460232,454,1,3,0,1,False,False,True,False
00349F03KO,42,M,383210,323,0,2,1,0,False,True,False,False
00352T67FO,50,F,428269,359,0,2,0,1,False,True,False,False
00361H11UT,26,M,201025,204,1,2,1,0,False,True,False,False
00364V23LI,50,M,703957,224,1,2,1,0,False,True,False,False
00365W93ZJ,47,M,448851,442,0,3,1,0,False,False,True,False
00367J12EU,49,M,313491,319,0,2,1,0,False,True,False,False
00370E34LE,51,F,460696,613,1,4,0,1,False,False,False,True
00373G59CP,34,M,212101,20,0,1,1,0,True,False,False,False
00375D60YS,39,F,403288,267,1,2,0,1,False,True,False,False
00376J00ZZ,36,F,359117,380,1,3,0,1,False,False,True,False
00379Z36SA,30,M,206429,265,0,2,1,0,False,True,False,False
00382V59DF,31,M,171595,462,1,3,1,0,False,False,True,False
00383N03UQ,39,M,158799,455,0,3,1,0,False,False,True,False
00385Q88UV,56,M,450129,449,1,3,1,0,False,False,True,False
00389G25SI,44,M,594891,848,1,4,1,0,False,False,False,True
00398Y03ZM,64,M,325588,91,0,1,1,0,True,False,False,False
00401K86FK,62,F,423189,546,1,4,0,1,False,False,False,True
00401O09TQ,49,F,297603,338,0,2,0,1,False,True,False,False
00403U35TW,28,F,139173,406,1,3,0,1,False,False,True,False
00408L45WP,61,F,369072,82,0,1,0,1,True,False,False,False
00408Y08KQ,32,M,151120,331,1,2,1,0,False,True,False,False
00410R16TC,25,F,398736,279,0,2,0,1,False,True,False,False
00417A28PT,28,M,215760,418,1,3,1,0,False,False,True,False
00419G61MI,38,F,317861,341,0,2,0,1,False,True,False,False
00419O42OQ,52,M,215426,298,1,2,1,0,False,True,False,False
00419V35NQ,43,M,366221,431,1,3,1,0,False,False,True,False
00429R01AE,30,M,139415,249,0,2,1,0,False,True,False,False
00431G07OO,52,M,431286,399,1,3,1,0,False,False,True,False
00436Y85OW,49,F,750840,496,1,3,0,1,False,False,True,False
00440N64KQ,51,M,195015,84,0,1,1,0,True,False,False,False
00444U00JB,32,F,488667,15,0,1,0,1,True,False,False,False
00453H15DP,33,M,267485,397,1,3,1,0,False,False,True,False
00455K70WT,41,M,420102,330,0,2,1,0,False,True,False,False
00459L34ID,54,F,530883,302,0,2,0,1,False,True,False,False
00461I28ID,46,M,326522,361,1,3,1,0,False,False,True,False
00464V67EK,35,F,240805,281,1,2,0,1,False,True,False,False
00473N34QJ,46,M,539405,927,1,4,1,0,False,False,False,True
00475I88MC,43,M,259877,428,1,3,1,0,False,False,True,False
00493W41NP,32,F,330119,396,1,3,0,1,False,False,True,False
00500S08SF,39,M,280888,498,1,3,1,0,False,False,True,False
00501G72LQ,36,F,427181,265,0,2,0,1,False,True,False,False
00501L02HF,53,M,339461,238,1,2,1,0,False,True,False,False
00501T24RS,32,M,269414,333,0,2,1,0,False,True,False,False
00502D01IX,34,M,205253,286,0,2,1,0,False,True,False,False
00504A56CT,59,M,500732,209,0,2,1,0,False,True,False,False
00504T00RT,33,M,243617,372,1,3,1,0,False,False,True,False
00507E06MF,49,M,134492,479,0,3,1,0,False,False,True,False
00517Y96VA,62,F,293661,298,0,2,0,1,False,True,False,False
00518J26YC,27,F,447013,313,1,2,0,1,False,True,False,False
00518T21SS,63,F,181069,463,1,3,0,1,False,False,True,False
00520M39VD,33,F,317437,56,0,1,0,1,True,False,False,False
00520U36PQ,63,F,403709,821,1,4,0,1,False,False,False,True
00522N86WP,27,M,205214,596,1,4,1,0,False,False,False,True
00525V37OB,54,F,450053,361,1,3,0,1,False,False,True,False
00530T87YG,61,F,199896,416,1,3,0,1,False,False,True,False
00533R36MW,62,F,194712,150,0,1,0,1,True,False,False,False
00539H54NQ,45,M,137660,201,0,2,1,0,False,True,False,False
00542P53PF,58,F,481856,571,1,4,0,1,False,False,False,True
00543L30OC,58,M,126174,240,0,2,1,0,False,True,False,False
00546N40AX,43,F,734605,260,0,2,0,1,False,True,False,False
00546X20AD,33,F,382048,254,1,2,0,1,False,True,False,False
00548N04YU,59,F,203056,306,0,2,0,1,False,True,False,False
00551U40CI,52,M,465582,168,1,1,1,0,True,False,False,False
00553H11CJ,50,M,212319,431,0,3,1,0,False,False,True,False
00553J02LM,46,F,366016,125,0,1,0,1,True,False,False,False
00556C70FP,43,F,661573,562,1,4,0,1,False,False,False,True
00560M12PX,63,F,411613,686,1,4,0,1,False,False,False,True
00567R64FM,37,M,397731,213,1,2,1,0,False,True,False,False
00568J65SH,55,M,138584,975,1,4,1,0,False,False,False,True
00569N86LZ,28,F,177483,332,1,2,0,1,False,True,False,False
00570A36UB,55,M,776224,518,1,4,1,0,False,False,False,True
00573A72IV,63,M,688604,483,1,3,1,0,False,False,True,False
00573H82YB,29,F,457411,286,1,2,0,1,False,True,False,False
00573O29KC,29,F,498557,423,1,3,0,1,False,False,True,False
00581Q10GK,36,M,290958,275,0,2,1,0,False,True,False,False
00581V89BY,60,F,479149,339,1,2,0,1,False,True,False,False
00586N32TT,41,M,176922,324,1,2,1,0,False,True,False,False
00586U96UR,49,M,405799,275,1,2,1,0,False,True,False,False
00588Z20CE,57,F,94773,326,0,2,0,1,False,True,False,False
00591L30JZ,63,F,413181,529,1,4,0,1,False,False,False,True
00596L21AG,36,F,608235,500,0,4,0,1,False,False,False,True
00597M73JU,59,M,347636,426,1,3,1,0,False,False,True,False
00597U80TD,57,F,199264,30,1,1,0,1,True,False,False,False
00597Y41ON,49,F,683741,335,0,2,0,1,False,True,False,False
00600R42WH,41,M,265642,278,0,2,1,0,False,True,False,False
00604N95HR,40,F,511939,343,1,2,0,1,False,True,False,False
00607C34QX,28,F,434555,301,1,2,0,1,False,True,False,False
00607J41MX,59,F,237955,181,1,1,0,1,True,False,False,False
00614D96HJ,27,M,230490,348,0,2,1,0,False,True,False,False
00618Q42CL,35,M,150900,443,1,3,1,0,False,False,True,False
00619C80OJ,50,F,458736,60,0,1,0,1,True,False,False,False
00620C55TZ,38,M,572869,488,1,3,1,0,False,False,True,False
00621B59JV,64,M,113709,626,0,4,1,0,False,False,False,True
00622Q85VX,56,F,241616,120,0,1,0,1,True,False,False,False
00627F51PE,49,M,495549,141,1,1,1,0,True,False,False,False
00632Y77VT,41,F,529835,446,1,3,0,1,False,False,True,False
00633V61EC,57,M,471821,45,1,1,1,0,True,False,False,False
00636I79LV,56,M,378477,463,1,3,1,0,False,False,True,False
00638O43EA,51,F,367565,237,0,2,0,1,False,True,False,False
00641G28YH,61,M,109837,311,1,2,1,0,False,True,False,False
00643U81CS,30,M,235558,284,0,2,1,0,False,True,False,False
00649W73YA,51,F,477813,230,1,2,0,1,False,True,False,False
00655D11UW,31,M,112574,369,0,3,1,0,False,False,True,False
00658H28XP,35,F,151637,315,1,2,0,1,False,True,False,False
00658R45HF,53,M,787609,802,1,4,1,0,False,False,False,True
00659T59XL,30,F,437995,349,0,2,0,1,False,True,False,False
00666Q86JT,39,M,444372,337,1,2,1,0,False,True,False,False
00667B13SX,62,M,411862,422,1,3,1,0,False,False,True,False
00669I59LZ,33,F,368384,349,1,2,0,1,False,True,False,False
00674D31IS,47,F,659317,290,1,2,0,1,False,True,False,False
00674H38AW,60,F,482248,411,0,3,0,1,False,False,True,False
00677W20SF,33,F,239741,389,0,3,0,1,False,False,True,False
00682D83FR,51,M,793627,513,1,4,1,0,False,False,False,True
00683H66HF,29,F,466160,120,1,1,0,1,True,False,False,False
00684U17QW,59,M,166379,257,0,2,1,0,False,True,False,False
00692P42OU,36,M,443703,442,0,3,1,0,False,False,True,False
00697M49YH,55,M,122931,481,0,3,1,0,False,False,True,False
00698O55HC,55,M,110499,231,0,2,1,0,False,True,False,False
00704C92HW,51,F,88680,87,0,1,0,1,True,False,False,False
00705G84QD,34,F,342933,482,1,3,0,1,False,False,True,False
00705J21XS,30,M,257651,79,0,1,1,0,True,False,False,False
00705Q74LP,33,F,331717,346,0,2,0,1,False,True,False,False
00706L25FX,62,M,137580,344,0,2,1,0,False,True,False,False
00717V64OY,48,M,385394,424,1,3,1,0,False,False,True,False
00717W67CY,64,M,779778,380,1,3,1,0,False,False,True,False
00719I75XG,47,M,170486,238,0,2,1,0,False,True,False,False
00719L34GW,48,F,347008,487,1,3,0,1,False,False,True,False
00726J74XT,48,F,483365,325,1,2,0,1,False,True,False,False
00727W36KD,54,F,303965,71,0,1,0,1,True,False,False,False
00730M90XX,36,M,196575,350,1,2,1,0,False,True,False,False
00733E14KR,55,F,408051,98,0,1,0,1,True,False,False,False
00741J06PK,64,M,106193,790,0,4,1,0,False,False,False,True
00741O96XC,42,F,341971,891,0,4,0,1,False,False,False,True
00743F31QF,34,F,401235,253,0,2,0,1,False,True,False,False
00744S19FN,59,M,308839,107,0,1,1,0,True,False,False,False
00746S00UV,65,F,166531,15,0,1,0,1,True,False,False,False
00748R62RR,46,F,459747,938,1,4,0,1,False,False,False,True
00750T82EG,25,F,379876,340,0,2,0,1,False,True,False,False
00751P30ZX,48,F,531717,798,1,4,0,1,False,False,False,True
00752S07GF,51,F,358352,878,1,4,0,1,False,False,False,True
00753Y39FX,28,F,469075,252,0,2,0,1,False,True,False,False
00754G43CV,31,F,334384,371,1,3,0,1,False,False,True,False
00755W40EI,44,M,181029,334,0,2,1,0,False,True,False,False
00757R94ZC,56,M,740746,140,1,1,1,0,True,False,False,False
00759T72LN,51,F,378904,405,1,3,0,1,False,False,True,False
00760K33VH,51,F,421677,779,1,4,0,1,False,False,False,True
00763N11CY,56,F,171003,507,0,4,0,1,False,False,False,True
00764I35GI,53,M,513727,786,1,4,1,0,False,False,False,True
00764Z54EI,56,F,87859,401,0,3,0,1,False,False,True,False
00768Z00MB,41,M,394836,254,0,2,1,0,False,True,False,False
00768Z27FB,63,M,633688,255,0,2,1,0,False,True,False,False
00769R93WL,45,F,326555,342,1,2,0,1,False,True,False,False
00772D21XX,44,M,478692,423,1,3,1,0,False,False,True,False
00774B38EU,59,F,272045,300,1,2,0,1,False,True,False,False
00779J88GP,30,F,255157,173,1,1,0,1,True,False,False,False
00784Q15XZ,54,M,142597,50,1,1,1,0,True,False,False,False
00788W35OF,65,F,321733,167,1,1,0,1,True,False,False,False
00789T30IT,41,F,608949,43,0,1,0,1,True,False,False,False
00799J78SE,33,F,445744,324,0,2,0,1,False,True,False,False
00801Q34ZT,33,F,487368,275,0,2,0,1,False,True,False,False
00805J05YV,31,M,286693,224,0,2,1,0,False,True,False,False
00807X19YS,54,M,367247,167,1,1,1,0,True,False,False,False
00810O95VM,27,M,191639,962,1,4,1,0,False,False,False,True
00816A48NH,53,F,319445,685,1,4,0,1,False,False,False,True
00819E21EA,33,M,194434,286,0,2,1,0,False,True,False,False
00825B43UX,62,M,391364,146,0,1,1,0,True,False,False,False
00830V58JE,41,M,592416,8,0,1,1,0,True,False,False,False
00831G80LP,47,M,293732,380,1,3,1,0,False,False,True,False
00831N50BR,47,M,146687,457,1,3,1,0,False,False,True,False
00836Z49AU,37,M,482575,360,1,3,1,0,False,False,True,False
00842A00HN,25,M,161457,105,1,1,1,0,True,False,False,False
00843D54RP,35,M,287076,352,0,2,1,0,False,True,False,False
00843M17XT,29,M,171903,182,0,1,1,0,True,False,False,False
00845Q81TK,38,M,744203,236,1,2,1,0,False,True,False,False
00846L25IB,36,M,758280,161,1,1,1,0,True,False,False,False
00850H53IL,30,M,285007,796,1,4,1,0,False,False,False,True
00850P15CY,30,F,478325,464,1,3,0,1,False,False,True,False
00857V22KA,37,M,434249,318,0,2,1,0,False,True,False,False
00858L44ZP,31,F,372776,244,0,2,0,1,False,True,False,False
00859U97GB,53,M,248346,285,0,2,1,0,False,True,False,False
00860W36CG,39,M,387742,209,1,2,1,0,False,True,False,False
00863P24UX,43,M,252653,389,1,3,1,0,False,False,True,False
00865M93YQ,40,M,304007,226,0,2,1,0,False,True,False,False
00867G02AW,63,F,488995,648,0,4,0,1,False,False,False,True
00873Y86OK,61,F,129037,418,0,3,0,1,False,False,True,False
00875I88FU,51,F,119389,327,0,2,0,1,False,True,False,False
00877B53FP,64,M,297888,41,0,1,1,0,True,False,False,False
00881N43MB,46,M,488740,388,1,3,1,0,False,False,True,False
00883P48KD,52,F,372019,464,1,3,0,1,False,False,True,False
00884B00YM,65,F,407683,398,0,3,0,1,False,False,True,False
00884O08HH,54,F,199381,268,0,2,0,1,False,True,False,False
00886G69MO,62,M,432126,148,0,1,1,0,True,False,False,False
00886M72WM,35,F,453600,300,0,2,0,1,False,True,False,False
00889K93BP,63,F,281781,783,1,4,0,1,False,False,False,True
00891G22PA,59,F,520701,323,1,2,0,1,False,True,False,False
00894L73AU,26,M,169736,279,0,2,1,0,False,True,False,False
00898C15VM,64,F,282091,500,1,4,0,1,False,False,False,True
00901N73RR,39,M,398483,470,1,3,1,0,False,False,True,False
00901R07PT,51,F,516285,485,1,3,0,1,False,False,True,False
00903H73ZK,46,M,164721,473,1,3,1,0,False,False,True,False
00904F99MB,49,M,548824,146,1,1,1,0,True,False,False,False
00904I84IS,49,M,291493,460,1,3,1,0,False,False,True,False
00904P31DT,37,F,665368,295,1,2,0,1,False,True,False,False
00905S42UB,51,F,446627,490,1,3,0,1,False,False,True,False
00906I17QD,65,M,391174,326,0,2,1,0,False,True,False,False
00907E28ZU,59,F,136861,244,0,2,0,1,False,True,False,False
00908X63WZ,35,M,100259,480,1,3,1,0,False,False,True,False
00912D28FF,64,F,426720,227,1,2,0,1,False,True,False,False
00913B67KG,38,M,330965,364,1,3,1,0,False,False,True,False
00913R99BU,57,M,781754,181,1,1,1,0,True,False,False,False
00913V31TE,40,M,212213,284,1,2,1,0,False,True,False,False
00915M41NY,51,M,485904,850,1,4,1,0,False,False,False,True
00919E90FE,61,F,171549,254,0,2,0,1,False,True,False,False
00922G84AU,37,M,264193,268,0,2,1,0,False,True,False,False
00922L29OE,28,F,196229,257,0,2,0,1,False,True,False,False
00924F05LC,59,F,457080,348,0,2,0,1,False,True,False,False
00925V03AX,58,M,635837,360,1,3,1,0,False,False,True,False
00930E10QS,35,M,298021,488,1,3,1,0,False,False,True,False
00931S31VF,42,F,630717,217,1,2,0,1,False,True,False,False
00934C21WS,48,M,290833,207,0,2,1,0,False,True,False,False
00934D48UJ,36,M,374075,396,1,3,1,0,False,False,True,False
00939Z87HR,39,M,125176,255,0,2,1,0,False,True,False,False
00940B89BJ,60,F,127029,969,1,4,0,1,False,False,False,True
00943D49FD,59,F,316667,603,0,4,0,1,False,False,False,True
00943K45TT,36,F,274872,810,1,4,0,1,False,False,False,True
00947C06UC,30,M,178731,259,1,2,1,0,False,True,False,False
00947N26ZQ,60,F,132224,163,0,1,0,1,True,False,False,False
00948K59ZW,53,F,513061,995,1,4,0,1,False,False,False,True
00948M19XF,47,F,344040,958,1,4,0,1,False,False,False,True
00955D34KU,50,F,279883,993,0,4,0,1,False,False,False,True
00955L04CY,45,M,331459,357,1,2,1,0,False,True,False,False
00955S92OW,43,M,582915,132,1,1,1,0,True,False,False,False
00956F58IS,48,M,347048,298,0,2,1,0,False,True,False,False
00957D43YN,30,M,110721,373,1,3,1,0,False,False,True,False
00960O30FX,56,F,200357,84,0,1,0,1,True,False,False,False
00960S45IJ,35,M,170833,212,1,2,1,0,False,True,False,False
00964H06PP,52,F,345691,288,1,2,0,1,False,True,False,False
00966F87IK,27,F,267669,233,1,2,0,1,False,True,False,False
00967L28RH,56,M,589550,365,1,3,1,0,False,False,True,False
00973W52MM,34,F,144389,457,0,3,0,1,False,False,True,False
00978Y74ZX,45,F,318032,205,1,2,0,1,False,True,False,False
00983W88PB,39,M,241906,410,1,3,1,0,False,False,True,False
00986K76BF,34,M,195720,44,0,1,1,0,True,False,False,False
00988D64KD,38,M,436892,307,0,2,1,0,False,True,False,False
00989J36PB,40,M,328892,457,0,3,1,0,False,False,True,False
00989P99TT,31,M,287206,865,1,4,1,0,False,False,False,True
00991S22SR,52,M,594865,142,1,1,1,0,True,False,False,False
00992F39EM,61,F,243053,144,0,1,0,1,True,False,False,False
00993V00RU,59,M,335735,696,1,4,1,0,False,False,False,True
00994U87KV,31,F,365858,223,1,2,0,1,False,True,False,False
00995P51TZ,53,M,351715,386,1,3,1,0,False,False,True,False
00996M74JK,26,F,368552,373,0,3,0,1,False,False,True,False
01000F22UP,46,M,120648,144,0,1,1,0,True,False,False,False
01001K33KH,39,F,406216,324,0,2,0,1,False,True,False,False
01008F40OS,39,F,723461,172,0,1,0,1,True,False,False,False
01008Q99DM,26,F,350271,205,1,2,0,1,False,True,False,False
01009Q00IV,62,M,112922,209,0,2,1,0,False,True,False,False
01015G52MH,40,F,339328,489,1,3,0,1,False,False,True,False
01016U44AD,65,F,236016,769,1,4,0,1,False,False,False,True
01021O87OI,32,M,177884,307,1,2,1,0,False,True,False,False
01024G80SN,64,M,301744,525,1,4,1,0,False,False,False,True
01024T77TL,64,M,72138,84,0,1,1,0,True,False,False,False
01025V55XI,36,F,287733,464,1,3,0,1,False,False,True,False
01026K03TS,30,F,337248,265,0,2,0,1,False,True,False,False
01026W37VZ,37,M,521923,184,1,1,1,0,True,False,False,False
01029J74EU,62,M,725155,427,1,3,1,0,False,False,True,False
01030K68WE,63,M,154494,426,1,3,1,0,False,False,True,False
01031I91IC,26,M,114319,287,0,2,1,0,False,True,False,False
01036B63OU,47,F,454235,282,1,2,0,1,False,True,False,False
01037M22VF,63,M,535350,219,1,2,1,0,False,True,False,False
01037X90QY,55,F,374984,352,1,2,0,1,False,True,False,False
01039S40NE,44,M,226511,485,0,3,1,0,False,False,True,False
01040P22BU,61,M,570420,337,1,2,1,0,False,True,False,False
01041H87VD,36,M,667101,169,1,1,1,0,True,False,False,False
01058C29CA,44,M,379859,354,0,2,1,0,False,True,False,False
01059W32LZ,25,F,218589,52,0,1,0,1,True,False,False,False
01062D39OT,38,M,451147,320,1,2,1,0,False,True,False,False
01067H72OL,27,F,440149,219,1,2,0,1,False,True,False,False
01069V95BZ,34,M,248961,398,1,3,1,0,False,False,True,False
01071U56OU,65,M,451333,362,0,3,1,0,False,False,True,False
01072B91IF,60,F,479821,481,1,3,0,1,False,False,True,False
01074R68ZA,34,M,209863,284,1,2,1,0,False,True,False,False
01077C41QN,61,M,489814,870,0,4,1,0,False,False,False,True
01084S44QF,40,F,701277,456,1,3,0,1,False,False,True,False
01088S10VR,44,M,375053,214,1,2,1,0,False,True,False,False
01089Z30MG,35,M,215735,832,1,4,1,0,False,False,False,True
01090Q97CU,38,M,444794,338,0,2,1,0,False,True,False,False
01093I81KX,54,F,463251,820,1,4,0,1,False,False,False,True
